1622	1622.trycycler.fasta
NCBI_UnB_XtecTG02_2_Xcc_tectnoae	NCBI_UnB-XtecTG02-2_Xcc_tectnoae.fasta
NCBI_WHRI5232_Xcmal	NCBI_WHRI5232_Xcmal.fasta
NCBI_X621_Xcfuscans	NCBI_X621_Xcfuscans.fasta
NCBI_Xcc29_1_Xcc	NCBI_Xcc29-1_Xcc.fasta
NCBI_Xcc49_Xcc	NCBI_Xcc49_Xcc.fasta
NCBI_XcmH1005_Xcmal	NCBI_XcmH1005_Xcmal.fasta
NCBI_XcmN1003_Xcmal	NCBI_XcmN1003_Xcmal.fasta
NCBI_XCP631_Xcfuscans	NCBI_XCP631_Xcfuscans.fasta
NCBI_XFF1815_Xcfuscans	NCBI_XFF1815_Xcfuscans.fasta
NCBI_Xff49_Xcfuscans	NCBI_Xff49_Xcfuscans.fasta
NCBI_XFF6960_Xcfuscans	NCBI_XFF6960_Xcfuscans.fasta
NCBI_XFF6970_Xcfuscans	NCBI_XFF6970_Xcfuscans.fasta
NCBI_XFF7766_Xcfuscans	NCBI_XFF7766_Xcfuscans.fasta
PHDS_15_247_B1	PHDS-15-247-B1_scaffolds.filter.fasta
PHDS_15_247_C1	PHDS-15-247-C1_scaffolds.filter.fasta
PHDS_16_318A1	PHDS-16-318A1_scaffolds.filter.fasta
PHDS_16_318A2	PHDS-16-318A2_scaffolds.filter.fasta
PHDS_16_318B1	PHDS-16-318B1_scaffolds.filter.fasta
PHDS_16_318C1	PHDS-16-318C1_scaffolds.filter.fasta
PHDS_16_318C2	PHDS-16-318C2_scaffolds.filter.fasta
PHDS_16_319A1	PHDS-16-319A1_scaffolds.filter.fasta
PHDS_16_319A2	PHDS-16-319A2_scaffolds.filter.fasta
PHDS_16_319B1	PHDS-16-319B1_scaffolds.filter.fasta
PHDS_16_319B2	PHDS-16-319B2_scaffolds.filter.fasta
PHDS_16_319C1	PHDS-16-319C1_scaffolds.filter.fasta
PHDS_16_319D2	PHDS-16-319D2_scaffolds.filter.fasta
PHDS_16_319E1	PHDS-16-319E1_scaffolds.filter.fasta
PHDS_16_319E2	PHDS-16-319E2_scaffolds.filter.fasta
USA_13_7A_3	USA-13-7A.3_scaffolds.filter.fasta
USA_30_7A_2	USA-30-7A.2_scaffolds.filter.fasta
X02_1035	X02-1035_scaffolds.filter.fasta
x04_1469	x04-1469.trycycler.fasta
XS97_3_1	XS97-3-1_scaffolds.filter.fasta
XS97_5_1	XS97-5-1_scaffolds.filter.fasta
